číslo,názov
1,"Ó, prekrásna Hviezda ranná"
2,Anjel Pána
3,Anjel z neba
4,"Bože, ku tebe"
5,"Buď, Mária, pozdravená"
6,Dennica už vyšla
7,Dnes Panna je pozdravená
8,Duša moja celou silou
9,Poslaný je anjel
10,Anjel Gabriel
11,"Hľa, anjel Pána vznešený"
12,"Hľa, Panna je pozdravená"
13,Moc Božia divná
14,Múdrosť a sila
15,"Nes, Gabrielu"
16,Oblaky z neba
17,Otec nebeský
18,"Pán Boh všemohúci, Sudca náš"
19,Po zlom páde
20,"Príďže, náš milý Spasiteľ"
21,"Roste, nebesá"
22,Už z neba posol schádza
23,"Tys’, Panna plná milosti"
24,Veselo spievajme
25,V spôsobe chleba
26,V temnosti Otcovia
27,V žiare prejasnej
28,Príde Kristus
29,"Radujže sa, Panna slávna"
30,"Zdravas’, krásna Pani anjelská"
31,"Zdravas’, Mária"
32,"Zdravas’, zdravas’, ó, Mária"
33,"Zdravas’, Mária, krásna"
34,Syn Boží sa nám narodil
35,Anjel Pána pastierom
36,A včera z večera
37,Buďme všetci potešení
38,Boh sa nám teraz narodil
39,"Búvaj, Dieťa krásne"
40,Čas radosti
41,Dieťatko sa nám dnes zrodilo
42,Aké to svetlo
43,Dnes sa Kristus narodil
44,Narodil sa Kristus Pán
45,Aký je to svit
46,Dieťatko spanilé
47,Dnes sa stalo
48,Dnešný deň sa radujme
49,Dobrá novina
50,Dobrý pastier sa narodil
51,"Do hory, do lesa, valasi"
52,Do mesta Betlema
53,Nesiem vám noviny
54,"Hľa, zástup zboru anjelského"
55,Jak veľká to milosť
56,"Kde si, náš Mesiáš"
57,Keď Mária plačúcemu
58,Kyrie eleison – Pána Krista
59,Kyrie eleison – Vitaj
60,"Ó, divadlo krásne"
61,Láska volá ma
62,Narodil sa Spasiteľ
63,Narodil sa Kristus v Betleme
64,Od nás dávno túžený
65,Pásli ovce valasi
66,"Ó, chýr preblahý"
67,Panna čistá
68,"Pastieri, pastieri"
69,Plesá Matka
70,Plesá svet
71,"Plesajte, kresťania"
72,Počujte radosť utešenú
73,"Počúvajte, kresťania"
74,"Ponáhľajme, pastuškovia"
75,Pospešte sem
76,Povedzte nám
77,Prišiel ten čas veselý
78,Povstaňte v rýchlosti
79,Pred tebou sa klaniame
80,"Sem, pastieri, pospiechajte"
81,"Sem pospešte, nemeškajte"
82,"Sem, sem, Dieťatko"
83,"Vitaj, ó, Ježiško narodený"
84,"Spievaj a jasaj, zem celá"
85,Svetlo svetu dnes nastalo
86,Spasiteľ sveta zrodil sa
87,"Vec predivná, neslýchaná"
88,Tichá noc
89,Už Slnko z hviezdy vyšlo
90,Tebe sa tu klaniame
91,Veselosť veľká
92,"Vitaj, náš Ježiško narodený"
93,Veselým hlasom spievajme
94,"Vstávajte, pastieri"
95,"Vstávajte, pastieri, berte sa"
96,"Vítame ťa, sväté Dieťa"
97,Z Panny Pán Ježiš je narodený
98,Zvestujem vám radosť
99,Zaspievajme si veselo
100,Narodený Jezu Kriste
101,Narodil sa nám
102,"Ďakujeme, Ochranca náš"
103,Mocný je Boh náš
104,Pán časov
105,"Ó, Ježišu, buď k pomoci"
106,Nový rok beží
107,"Veseľ sa, ľudské stvorenie"
108,Z neba prišiel k nám
109,"Hľa, aká to hviezda krásna"
110,"Herodes, kráľu ukrutný"
111,Traja králi uzreli
112,Traja slávni králi
113,Tri zázraky sa dnes stali
114,"Ježiš sladký, dušiam"
115,"Ježišu, Ježišu"
116,"Ježišu, vznešená"
117,Kde je Ježiš
118,"Kdes’, moje spasenie"
119,"Kde si, môj premilý"
120,"Ó, Ježišu, môj priateľu"
121,Čo trpieť má Spasiteľ náš
122,"Pán Boh, ktorý všetko stvoril"
123,Svätý pôst sa započína
124,"Ach, beda mne nešťastnému"
125,"Pristúp, pristúp sem, hriešniku"
126,"Ach, čo som to len urobil"
127,"Ach, ja Matka zarmútená"
128,"Ach, jak všetko stvorenie"
129,"Ach, kríž svätý"
130,"Ach, mňa Matku v tejto chvíli"
131,"Ach, poďte kresťania"
132,"Ach, prečo si, zlosť"
133,"Jezu Kriste, Pane milý"
134,"Ach, som zarmútený"
135,Často drahé rany sväté
136,"Čuj hlas môj, hriešniku"
137,"Čuj svet, nebo, celá zem"
138,"Hľa, v žiali srdca"
139,Iní Krista opustili
140,"Ježišu, buď uctený"
141,Každá rana Krista Pána
142,Keď Ježiša nevinného
143,"Kristus, príklad pokory"
144,Ktorýs’ za nás trpel
145,"Mária, Matka bolestná"
146,Ku krížu svätému
147,Mária pod krížom
148,"Kresťania, nariekajte"
149,Nevinnosť premilá
150,"Matka plače, ruky spína"
151,"Mizerere, mizerere"
152,Môj milý Ježišu
153,Múdrosť Otca večného
154,Narieka žalostne
155,"Ó, Ježišu môj zranený"
156,"Ó, hriešnici prešťastliví"
157,"Ó, môj Bože láskavý"
158,"Omša svätá, obeť zmierna"
159,"Ó, preveľká milosť"
160,Poďakujme Kristu Pánu
161,"Ó, zármutku, srdca smútku"
162,"Poďteže, hriešnici"
163,"Plačte, ó, anjeli"
164,"Pôjdem, pôjdem, hľadať budem"
165,"Pováž, ó, človeče"
166,"Presväté znamenie, presvätý kríž"
167,"Pred trón tvoj, ó, Kriste"
168,"Ó, srdce kamenné"
169,Rozjímajme s pokornosťou
170,Rozmýšľajme dnes
171,"Sem, dcéra sionská"
172,Stála Matka bolestivá
173,S pobožnosťou oslavujme
174,Srdce puká od žalosti
175,Tvoje muky ospevujem
176,Umučenie drahého Pána
177,Už som dosť pracoval
178,Čo stanica prvá
179,"Kresťania, sem pospiechajte"
180,"Ó, hlava ubolená"
181,Rozjímať o umučení
182,Ježiš Kristus slávne vchádza
183,"Kráľ neba, zeme"
184,"Kriste, Kráľu, tebe znejú"
185,K večeri sa zbližujte
186,Prápor Kráľa slávne veje
187,Dokonané je
188,"Ó, ľude môj, národe môj"
189,Umučený Kristus Pán
190,"Pozri biedny, ó, človeče"
191,O tajomstvách umučenia
192,Pán Ježiš Kristus vstal z mŕtvych
193,"Aleluja, radujme sa"
194,"Ježiš Kristus, Spasiteľ náš"
195,Kristus celý zranený
196,Pán Boh všemohúci z mŕtvych vstal
197,Pane mocný
198,"Ó, slávny deň s Kristom víťazom"
199,"Plesaj, všetko stvorenie"
200,Priblížil sa deň radosti
201,"Raduj sa, Cirkev Kristova"
202,"Radujte sa, ó, kresťania"
203,Radujme sa všetci zbožne
204,Spoločne sa dnes radujme
205,Tretieho dňa vstal
206,Utešený nám deň nastal
207,V deň vzkriesenia Jezu Krista
208,Víťaz Kristus
209,Obeť svoju veľkonočnú
210,Základ Cirkvi je na skale
211,Žiaľ v radosť sa už premenil
212,"Hľa, žiarou skvie sa"
213,Vstúpil Kristus Pán do neba
214,Kristus Pán na nebo vstúpil
215,Pôvod blaha
216,Poprosme Ducha Svätého
217,"Duchu Svätý, príď z neba"
218,Duch Svätý sa dnes zjavuje
219,"Leť, prosba naša"
220,"Ó, Trojica Najsvätejšia"
221,Najsvätejšia Trojica
222,"Ó, Bože, Otče, sveta Stvoriteľu"
223,Pri tejto slávnosti
224,"Nebeské Slovo, ktoré si"
225,"Ó, Pôvodca nášho blaha"
226,Večný náš Kráľ a Najvyšší
227,"Daruj, ó, Ježiš, srdce mne"
228,"Nebo i zem, vyhlasujte"
229,Oslavujme najsvätejšie Srdce Ježišovo
230,"Ó, Srdce, poklad nebeský"
231,Pozdravujme Božské Srdce
232,Sem srdce k Srdcu dones
233,Tisíc ráz buď pozdravené
234,"Vzdajme chválu, česť i slávu"
235,"Znej, pieseň, srdcom lásky"
236,Omša sa už začína
237,"Bože, plný láskavosti"
238,"Bože, svetov mocný Pane"
239,"Bože, tvojej velebnosti"
240,Dietky srdca nevinného
241,Hlboko sa ti klaniame
242,"Klaniame sa tebe, Bože"
243,"Kresťania, sem spiechajte"
244,K stolu Božej láskavosti
245,My klaniame sa tebe
246,"Ó, Bože na výsosti"
247,"Ó, Ježišu náš najmilší"
248,"Ó, trojjediný Bože"
249,"Poďte, duše s radosťou"
250,"Poďte, obnovme obetu"
251,Pred oltárom tu kľakáme
252,Pred trón lásky
253,"Ráč nás, Pane, zbaviť"
254,"Zmiluj sa, Bože, z výsosti"
255,Svätú obeť začíname
256,Tu skrúšení v prach padáme
257,"Ty si, Pane, v každom chráme"
258,Vstupujem do chrámu
259,Začína sa konať
260,Pokľakni na kolená
261,"Ach, láska preveľká"
262,"Ach, vitaj, vitaj, nám"
263,Buď vždy pozdravená
264,Buď vždy pozdravené
265,Ctím teba pobožne
266,Daj nám sväté požehnanie
267,Hostiu vítajme
268,"Chvála tebe, ó, Bože"
269,"Chváľ, Sione, Spasiteľa"
270,Klaniam sa ti vrúcne
271,Ktorý na oltári
272,"Kriste, zo srdca celého"
273,Lásky plní Serafíni
274,Na kolená padáme
275,"Nepochopiteľné, nesmierne tajomstvo"
276,"Ó, Bože, Pane náš z vysokosti"
277,"Ó, Ježišu náš najmilší"
278,"Ó, láska, nádej, spása"
279,"Ó, milí kresťania"
280,"Ó, vitaj, Ježišu ty chlieb živý"
281,"Pozdravená buď, Sviatosť oltárna"
282,Pred tebou Ježišu
283,Radosťou oplývam
284,"Radujme sa, ó, kresťania"
285,Slovu nekonečnému
286,Z neba na zem zostupujte
287,"Z neba stúpte, anjeli"
288,"Tebe žijem, Ježiš môj"
289,Z trónu slávy zostupuje
290,Telo Krista a krv svätá
291,"Velebme, kresťania"
292,"Velebíme, Kriste, teba"
293,Veľkú milosť udeľuješ
294,Z hlbín srdca skrúšeného
295,Vitaj milý Jezu Kriste
296,"Vitaj, najsvätejšie"
297,Zavítaj z nebies výsosti
298,"Vitaj, spása duší"
299,Zdrav’ buď Kriste najmocnejší
300,"Ježiš, Ježiš, príď ku mne"
301,"Príď, ó, Pane milý"
302,"Ó, Pane, nie som hodný"
303,"Duša Kristova, posväť ma"
312,"Raduj sa, nebies Kráľovná"
317,Ctime túto Sviatosť slávnu
327,"Nech je zvelebený Boh"
330,Anjelským pozdravením
332,"Celá krásna si, Mária"
337,K Márii voláme
338,"Kráľovná, buď pozdravená"
343,Mária najčistejšia
344,"Mária, ochrana"
349,Matka Pána Krista
359,"Ó, Mária, Prímluvnica naša"
370,Radosťou je moje srdce
376,"Slávna si, Kráľovná"
383,Tisíc ráz pozdravujeme teba
388,"Zaznite piesňou, údolia"
394,"Ó, Mária bolestivá"
399,Kvetinky májové
403,Počúvajte vrúcny hlas
411,"Ó, Mária, Kráľovná ružencová"
415,Spievajme Márii
417,"Hľa, otvára sa brána nebies"
429,"Svätý Peter, svätý Pavol"
462,"Bože, vyslyš prosby naše"
468,Odpočinku večného daj
484a,"Yzopom ma pokrop, Pane"
484b,"Tiekla voda z pravej strany"
493,Otče náš
498,"Ježišu, Kráľu"
501,"Ježiš, Mária i Jozef"
507,"Bože, ktorý stav manželský"
523,V sedmobrežnom kruhu Ríma
524,"Bože, čos’ ráčil"
526,"Teba, Bože, chválime"